Airport,City,CountOfFlights,IATA,Latitude,Longitude,PathId,PointOrder
Phoenix Sky Harbor International Airport,"Phoenix, AZ",0,PHX,33.43429946899414,-112.01200103759766,798,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",115,CVG,39.0488014221,-84.6678009033,799,0
Southwest Florida International Airport,"Fort Myers, FL",0,RSW,26.53619956970215,-81.75520324707031,799,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",61,CVG,39.0488014221,-84.6678009033,800,0
San Francisco International Airport,"San Francisco, CA",0,SFO,37.61899948120117,-122.375,800,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",68,CVG,39.0488014221,-84.6678009033,801,0
Salt Lake City International Airport,"Salt Lake City, UT",0,SLC,40.78839874267578,-111.97799682617188,801,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",79,CVG,39.0488014221,-84.6678009033,802,0
Tampa International Airport,"Tampa, FL",0,TPA,27.975500106811523,-82.533203125,802,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",37,CVG,39.0488014221,-84.6678009033,803,0
Northwest Arkansas Regional Airport,"Fayetteville, AR",0,XNA,36.281898,-94.30680100000001,803,1
Central Wisconsin Airport,"Mosinee, WI",8,CWA,44.7775993347,-89.6668014526,804,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,804,1
Central Wisconsin Airport,"Mosinee, WI",117,CWA,44.7775993347,-89.6668014526,805,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,805,1
Daytona Beach International Airport,"Daytona Beach, FL",237,DAB,29.179899,-81.058098,806,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,806,1
